term
sisma
movimento tellurico
scossa tellurica
moto
scossa
scosse
disordine
confusione
scompiglio
caos
sconquasso
sfacelo
scombussolamento
salto
balzo
sobbalzo
scossone
sussulto
scatto
guizzo
tremito
botta
colpo
urto
spinta
sballottamento
scarica
batosta
stangata
dolore
commozione
impressione
sconvolgimento
scombussolamento
turbamento
dissesto
rovescio
magnitudo
